idx_p,metric,value,time
1,obj_std,150735.00097332062,0.36700010299682617
1,reopt_std,154254.0764597693,0.3810000419616699
1,deterministic,131841.44469919376,0.44700002670288086
1,reopt_deterministic,153874.9071586954,0.17699980735778809
1,ws,131687.1375234335,0.3990001678466797
1,obj_ldr,225645.6338623789,0.6519999504089355
1,reopt_ldr,230117.0995892415,0.15799999237060547
1,dr_ldr,225637.3346880852,0.0
2,obj_std,205092.78792546067,0.03800010681152344
2,reopt_std,203062.32995123847,0.13700008392333984
2,deterministic,180459.51775902987,0.010999917984008789
2,reopt_deterministic,204067.82915204667,0.14599990844726562
2,ws,180897.78736193848,0.09599995613098145
2,obj_ldr,272092.66434194014,0.04800009727478027
2,reopt_ldr,271894.46004690527,0.1099998950958252
2,dr_ldr,272844.23799837776,0.0
3,obj_std,158472.86489624358,0.039999961853027344
3,reopt_std,155649.64111930787,0.14400005340576172
3,deterministic,132876.4072881281,0.0
3,reopt_deterministic,155864.98474778584,0.16100001335144043
3,ws,133081.9133144291,0.07899999618530273
3,obj_ldr,227508.56652246066,0.059999942779541016
3,reopt_ldr,232022.21143421961,0.13400006294250488
3,dr_ldr,227521.35694061525,0.0019998550415039062
